id,acc,pre,rec,f1s,iou
1632,0.955953,0.877637,0.962963,0.918322,0.848980
1633,0.655210,0.543478,0.555556,0.549451,0.378788
1634,0.987288,0.962963,1.000000,0.981132,0.962963
1635,0.945005,0.878661,0.941704,0.909091,0.833333
1636,0.767694,0.466276,0.841270,0.600000,0.428571
1637,0.968931,0.903084,0.976190,0.938215,0.883621
1638,0.772652,0.870370,0.604502,0.713472,0.554572
1639,1.000000,1.000000,1.000000,1.000000,1.000000
1640,0.739183,0.657980,0.691781,0.674457,0.508816
1641,0.951551,0.968750,0.925373,0.946565,0.898551
1642,0.847881,0.840708,0.763052,0.800000,0.666667
1643,0.972171,0.890909,1.000000,0.942308,0.890909
1644,0.816552,0.604230,0.869565,0.713012,0.554017
1645,0.955201,0.936759,0.940476,0.938614,0.884328
1646,0.777655,0.693182,0.709302,0.701149,0.539823
1647,0.933884,0.916364,0.913043,0.914701,0.842809
1648,0.956553,0.923077,0.972973,0.947368,0.900000
1649,0.851541,0.877451,0.748954,0.808126,0.678030
1650,0.857957,0.850000,0.784615,0.816000,0.689189
1651,0.903424,0.969849,0.817797,0.887356,0.797521
1652,0.972829,0.966790,0.963235,0.965009,0.932384
1653,0.949383,0.902381,1.000000,0.948686,0.902381
1654,0.983010,1.000000,0.966019,0.982716,0.966019
1655,0.806131,0.655052,0.793249,0.717557,0.559524
1656,0.968596,0.886878,0.980000,0.931116,0.871111
1657,0.883493,0.829694,0.837004,0.833333,0.714286
1658,0.848125,0.720000,0.932039,0.812412,0.684086
1659,0.923325,0.936759,0.877778,0.906310,0.828671
1660,0.821676,0.686131,0.800000,0.738703,0.585670
1661,0.910482,0.954357,0.842491,0.894942,0.809859
1662,0.906056,0.871720,0.908815,0.889881,0.801609
1663,0.954743,0.893878,0.956332,0.924051,0.858824
1664,0.868201,0.815068,0.843972,0.829268,0.708333
1665,0.972222,1.000000,0.944444,0.971429,0.944444
1666,0.976965,0.954545,0.976744,0.965517,0.933333
1667,0.911863,0.908333,0.865079,0.886179,0.795620
1668,0.948478,0.819444,0.961957,0.885000,0.793722
1669,0.965431,0.946565,0.957529,0.952015,0.908425
1670,0.933715,0.971154,0.878261,0.922374,0.855932
1671,0.946394,0.954545,0.916364,0.935065,0.878049
1672,0.881391,0.812500,0.844156,0.828025,0.706522
1673,0.953666,0.984127,0.915129,0.948375,0.901818
1674,0.948595,0.895833,0.955556,0.924731,0.860000
1675,0.925667,0.777143,0.912752,0.839506,0.723404
1676,0.885781,0.775281,0.880851,0.824701,0.701695
1677,0.980000,1.000000,0.960000,0.979592,0.960000
1678,0.923214,1.000000,0.846429,0.916828,0.846429
1679,0.707363,0.603376,0.588477,0.595833,0.424332
1680,0.706964,0.661972,0.494737,0.566265,0.394958
1681,0.962245,0.943144,0.959184,0.951096,0.906752
1682,0.846476,0.841642,0.817664,0.829480,0.708642
1683,0.943109,0.864000,0.947368,0.903766,0.824427
1684,0.971887,0.972222,0.957031,0.964567,0.931559
1685,0.969312,0.890909,0.967105,0.927445,0.864706
1686,0.978936,0.946023,1.000000,0.972263,0.946023
1687,0.962500,0.937282,0.960714,0.948854,0.902685
1688,0.890105,0.776596,0.848837,0.811111,0.682243
1689,0.964706,1.000000,0.929412,0.963415,0.929412
1690,0.508013,1.000000,0.016026,0.031546,0.016026
1691,1.000000,1.000000,1.000000,1.000000,1.000000
1692,1.000000,1.000000,1.000000,1.000000,1.000000
1693,0.802089,0.757188,0.764516,0.760835,0.613990
1694,0.851389,0.730038,0.831169,0.777328,0.635762
1695,0.928364,0.944444,0.897361,0.920301,0.852368
