id,acc,pre,rec,f1s,iou
401,0.876551,0.852740,0.841216,0.846939,0.734513
402,0.827971,0.798834,0.810651,0.804699,0.673219
403,0.946959,0.866379,0.948113,0.905405,0.827160
404,0.971418,0.879433,0.968750,0.921933,0.855172
405,0.977066,0.915493,0.984848,0.948905,0.902778
406,0.676948,0.445545,0.535714,0.486486,0.321429
407,0.846032,0.742424,0.777778,0.759690,0.612500
408,0.627987,0.654867,0.325991,0.435294,0.278195
409,0.978536,0.919192,0.983784,0.950392,0.905473
410,0.818992,0.955556,0.648241,0.772455,0.629268
411,0.639279,0.890411,0.292793,0.440678,0.282609
412,0.628735,0.453846,0.371069,0.408304,0.256522
413,0.930956,0.989011,0.865385,0.923077,0.857143
414,0.619429,0.382979,0.537313,0.447205,0.288000
415,0.785478,0.910569,0.589474,0.715655,0.557214
416,0.747051,0.548913,0.627329,0.585507,0.413934
417,0.430497,0.185841,0.063636,0.094808,0.049763
418,0.593233,0.546875,0.292887,0.381471,0.235690
419,0.857114,0.874539,0.784768,0.827225,0.705357
420,0.964726,0.940594,0.950000,0.945274,0.896226
421,0.890708,0.970149,0.787879,0.869565,0.769231
422,0.803192,0.721030,0.724138,0.722581,0.565657
423,0.536585,0.357143,0.214286,0.267857,0.154639
424,0.514877,0.409091,0.051136,0.090909,0.047619
425,0.856611,0.878136,0.785256,0.829103,0.708092
426,0.854422,0.809859,0.751634,0.779661,0.638889
427,0.827176,0.749164,0.802867,0.775087,0.632768
428,0.530926,0.437500,0.107692,0.172840,0.094595
429,0.860995,0.808140,0.776536,0.792023,0.655660
430,0.870682,0.816993,0.786164,0.801282,0.668449
431,0.728618,0.645833,0.576744,0.609337,0.438163
432,0.866926,0.787129,0.807107,0.796992,0.662500
433,0.919204,0.946809,0.855769,0.898990,0.816514
434,0.891267,0.869347,0.827751,0.848039,0.736170
435,0.900335,0.807560,0.907336,0.854545,0.746032
436,0.862732,0.778947,0.795699,0.787234,0.649123
437,0.930653,0.840580,0.943089,0.888889,0.800000
438,0.585545,0.829268,0.182796,0.299559,0.176166
439,0.927774,0.894444,0.941520,0.917379,0.847368
440,0.924039,0.943750,0.862857,0.901493,0.820652
441,0.943254,0.853383,0.957806,0.902584,0.822464
442,0.985433,0.994382,0.972527,0.983333,0.967213
443,0.613444,0.493902,0.373272,0.425197,0.270000
444,0.913265,0.917582,0.852041,0.883598,0.791469
445,0.647873,0.417969,0.548718,0.474501,0.311047
446,0.816971,0.828947,0.677419,0.745562,0.594340
447,0.807464,0.663366,0.728261,0.694301,0.531746
448,0.970433,0.938406,0.973684,0.955720,0.915194
449,0.861045,0.924138,0.740331,0.822086,0.697917
450,0.721118,0.866242,0.483986,0.621005,0.450331
451,0.876778,0.792079,0.824742,0.808081,0.677966
452,0.785607,0.663043,0.674033,0.668493,0.502058
453,0.841792,0.865116,0.738095,0.796574,0.661922
454,0.771593,0.679012,0.628571,0.652819,0.484581
455,0.949948,0.926554,0.921348,0.923944,0.858639
456,0.868583,0.943038,0.752525,0.837079,0.719807
457,0.480734,0.207547,0.106796,0.141026,0.075862
458,0.854473,0.785235,0.759740,0.772277,0.629032
459,0.789191,0.746914,0.647059,0.693410,0.530702
460,0.537961,0.600000,0.092025,0.159574,0.086705
461,0.955232,0.942857,0.926966,0.934844,0.877660
462,0.794805,0.671171,0.716346,0.693023,0.530249
463,0.533564,0.381818,0.188341,0.252252,0.144330
464,0.440072,0.259259,0.103858,0.148305,0.080092
465,0.764575,0.970588,0.536585,0.691099,0.528000
466,0.530766,0.722222,0.069892,0.127451,0.068063
467,0.820168,0.754190,0.714286,0.733696,0.579399
468,0.899245,0.897436,0.833333,0.864198,0.760870
469,0.493206,0.200000,0.047120,0.076271,0.039648
470,0.910542,0.918367,0.849057,0.882353,0.789474
471,0.919762,0.828947,0.940299,0.881119,0.787500
472,0.579597,0.417582,0.243590,0.307692,0.181818
473,0.851747,0.821622,0.760000,0.789610,0.652361
474,0.812226,0.914894,0.645000,0.756598,0.608491
475,0.940437,0.800000,0.947977,0.867725,0.766355
476,0.608261,0.828947,0.241379,0.373887,0.229927
477,0.755089,0.540984,0.698413,0.609700,0.438538
478,0.634303,0.816667,0.286550,0.424242,0.269231
479,0.808850,0.804954,0.760234,0.781955,0.641975
480,0.336370,0.056911,0.070000,0.062780,0.032407
481,0.755540,0.695402,0.601990,0.645333,0.476378
482,0.908995,0.876506,0.906542,0.891271,0.803867
483,0.700241,0.813793,0.452107,0.581281,0.409722
484,0.615051,0.426606,0.447115,0.436620,0.279279
485,0.679649,0.588517,0.516807,0.550336,0.379630
486,0.675935,0.642857,0.538206,0.585895,0.414322
487,0.525896,1.000000,0.051793,0.098485,0.051793
488,0.897866,0.902439,0.822222,0.860465,0.755102
489,0.957943,0.943478,0.939394,0.941432,0.889344
490,0.706160,0.641509,0.653846,0.647619,0.478873
491,0.830093,0.676230,0.797101,0.731707,0.576923
492,0.543511,0.339806,0.198864,0.250896,0.143443
493,0.835660,0.960000,0.698413,0.808576,0.678663
494,0.909726,0.898204,0.847458,0.872093,0.773196
495,0.641643,0.670886,0.325153,0.438017,0.280423
496,0.934726,0.936842,0.890000,0.912821,0.839623
497,0.887752,0.981900,0.783394,0.871486,0.772242
498,0.791972,0.698864,0.672131,0.685237,0.521186
499,0.626246,0.502732,0.414414,0.454321,0.293930
500,0.966218,0.892473,0.965116,0.927374,0.864583
501,0.949339,1.000000,0.898678,0.946636,0.898678
502,0.882426,0.867725,0.807882,0.836735,0.719298
503,0.743321,0.960317,0.495902,0.654054,0.485944
504,0.485158,0.062500,0.003067,0.005848,0.002933
505,0.752116,0.763359,0.555556,0.643087,0.473934
506,0.867411,0.965909,0.745614,0.841584,0.726496
507,0.940329,0.825939,0.975806,0.894640,0.809365
508,0.972222,0.866667,1.000000,0.928571,0.866667
509,0.810435,0.868000,0.691083,0.769504,0.625360
510,0.912339,0.915344,0.852217,0.882653,0.789954
511,0.911260,0.946746,0.837696,0.888889,0.800000
512,0.554977,0.506775,0.531250,0.518724,0.350187
513,0.601562,0.673267,0.265625,0.380952,0.235294
514,0.866188,0.906667,0.755556,0.824242,0.701031
